,,,,,,
Part,Quantity,Weight,Total Weight,Cost,Total cost,Provider
Weapon,1,37.257,37.257,89$,89$,https://www.pcbway.com/QuickOrderOnline.aspx?from=bingSE02&utm_source=bing&utm_medium=cpc&utm_campaign=1-%5BUS%5D%20Brand%20Search%20ECPC%20EM&utm_term=PCBWay&utm_content=Brand%20exact
Top Plate Carbon Fiber,1,,,10,10,CNC Services â€“ Robot Smashing League
n10s,2,8.13,16.26,already owned,already owned,
Maleki,1,5,5,already owned,already owned,
Weapon Esc,1,5,5,18.99,18.99,https://www.amazon.com/dp/B0F8P985VQ?_encoding=UTF8&th=1
Battery,1,19,19,already owned,already owned,
Weapon Motor,1,18,18,25.00$,25$,https://repeat-robotics.com/buy/2004-direct-drive-motor-150g/
Powerswitch,1,2.15,2.15,already owned,already owned,
Bearing,1,1,1,already owned,already owned,
Axel,1,1,1,already owned,already owned,
,,,,,,
Main Chasis,1,20,20,3d printed,3d printed,
Armor,2,1.61,3.22,3d printed,3d printed,
Tpu bearing hub,1,0.51,0.51,3d printed,3d printed,
Wires and Screws,1,10,10,already owned,already owned,
,,,148.422,,143$,
